Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Pct_Change,Normalized_Change
2020-07-31,303.0,303.41,284.2,286.15,286.15,61041000,-16.85,-5.56,1.75
2020-08-03,289.84,301.96,288.88,297.0,297.0,44046500,7.16,2.47,1.81
2020-08-04,299.0,305.48,292.4,297.4,297.4,42075000,-1.6,-0.54,1.82
2020-08-05,298.6,299.97,293.66,297.0,297.0,24739000,-1.59,-0.53,1.81
2020-08-06,298.17,303.46,295.45,297.92,297.92,29961500,-0.25,-0.08,1.82
2020-08-07,299.91,299.95,283.0,290.54,290.54,44482000,-9.37,-3.12,1.77
2020-08-10,289.6,291.5,277.17,283.71,283.71,37611500,-5.89,-2.03,1.73
2020-08-11,279.2,284.0,273.0,274.88,274.88,43129000,-4.32,-1.55,1.68
2020-08-12,294.0,317.0,287.0,310.95,310.95,109147000,16.95,5.77,1.9
2020-08-13,322.2,330.24,313.45,324.2,324.2,102126500,2.0,0.62,1.98
2020-08-14,333.0,333.76,325.33,330.14,330.14,62888000,-2.86,-0.86,2.02
2020-08-17,335.4,369.17,334.57,367.13,367.13,101211500,31.73,9.46,2.24
2020-08-18,379.8,384.78,369.02,377.42,377.42,82372500,-2.38,-0.63,2.3
2020-08-19,373.0,382.2,368.24,375.71,375.71,61026500,2.71,0.73,2.29
2020-08-20,372.14,404.4,371.41,400.37,400.37,103059000,28.23,7.59,2.44
2020-08-21,408.95,419.1,405.01,410.0,410.0,107448000,1.04,0.26,2.5
2020-08-24,425.26,425.8,385.5,402.84,402.84,100318000,-22.42,-5.27,2.46
2020-08-25,394.98,405.59,393.6,404.67,404.67,53294500,9.69,2.45,2.47
2020-08-26,412.0,433.2,410.73,430.63,430.63,71197000,18.63,4.52,2.63
2020-08-27,436.09,459.12,428.5,447.75,447.75,118465000,11.66,2.67,2.73
2020-08-28,459.02,463.7,437.3,442.68,442.68,100406000,-16.34,-3.56,2.7
2020-08-31,444.61,500.14,440.11,498.32,498.32,118374400,53.71,12.08,3.04
2020-09-01,502.14,502.49,470.51,475.05,475.05,89841100,-27.09,-5.39,2.9
2020-09-02,478.99,479.04,405.12,447.37,447.37,96176100,-31.62,-6.6,2.73
2020-09-03,407.23,431.8,402.0,407.0,407.0,87596100,-0.23,-0.06,2.49
2020-09-04,402.81,428.0,372.02,418.32,418.32,110321900,15.51,3.85,2.55
2020-09-08,356.0,368.74,329.88,330.21,330.21,115465700,-25.79,-7.24,2.02
2020-09-09,356.6,369.0,341.51,366.28,366.28,79465800,9.68,2.71,2.24
2020-09-10,386.21,398.99,360.56,371.34,371.34,84930600,-14.87,-3.85,2.27
2020-09-11,381.94,382.5,360.5,372.72,372.72,60717500,-9.22,-2.41,2.28
2020-09-14,380.95,420.0,373.3,419.62,419.62,83020600,38.67,10.15,2.56
2020-09-15,436.56,461.94,430.7,449.76,449.76,97298200,13.2,3.02,2.75
2020-09-16,439.87,457.79,435.31,441.76,441.76,72279300,1.89,0.43,2.7
2020-09-17,415.6,437.79,408.0,423.43,423.43,76779200,7.83,1.88,2.59
2020-09-18,447.94,451.0,428.8,442.15,442.15,86406800,-5.79,-1.29,2.7
2020-09-21,453.13,455.68,407.07,449.39,449.39,109476800,-3.74,-0.83,2.74
2020-09-22,429.6,437.76,417.6,424.23,424.23,79580800,-5.37,-1.25,2.59
2020-09-23,405.16,412.15,375.88,380.36,380.36,95074200,-24.8,-6.12,2.32
2020-09-24,363.8,399.5,351.3,387.79,387.79,96561100,23.99,6.59,2.37
2020-09-25,393.47,408.73,391.3,407.34,407.34,67208500,13.87,3.53,2.49
2020-09-28,424.62,428.08,415.55,421.2,421.2,49719600,-3.42,-0.81,2.57
2020-09-29,416.0,428.5,411.6,419.07,419.07,50219300,3.07,0.74,2.56
2020-09-30,421.32,433.93,420.47,429.01,429.01,48145600,7.69,1.83,2.62
2020-10-01,440.76,448.88,434.42,448.16,448.16,50741500,7.4,1.68,2.74
2020-10-02,421.39,439.13,415.0,415.09,415.09,71430000,-6.3,-1.5,2.53
2020-10-05,423.35,433.64,419.33,425.68,425.68,44722800,2.33,0.55,2.6
2020-10-06,423.79,428.78,406.05,413.98,413.98,49146300,-9.81,-2.31,2.53
2020-10-07,419.87,429.9,413.85,425.3,425.3,43127700,5.43,1.29,2.6
2020-10-08,438.44,439.0,425.3,425.92,425.92,40421100,-12.52,-2.86,2.6
2020-10-09,430.13,434.59,426.46,434.0,434.0,28925700,3.87,0.9,2.65
2020-10-12,442.0,448.74,438.58,442.3,442.3,38791100,0.3,0.07,2.7
2020-10-13,443.35,448.89,436.6,446.65,446.65,34463700,3.3,0.74,2.73
2020-10-14,449.78,465.9,447.35,461.3,461.3,47879700,11.52,2.56,2.82
2020-10-15,450.31,456.57,442.5,448.88,448.88,35672400,-1.43,-0.32,2.74
2020-10-16,454.44,455.95,438.85,439.67,439.67,32775900,-14.77,-3.25,2.68
2020-10-19,446.24,447.0,428.87,430.83,430.83,36287800,-15.41,-3.45,2.63
2020-10-20,431.75,431.75,419.05,421.94,421.94,31656300,-9.81,-2.27,2.58
2020-10-21,422.7,432.95,421.25,422.64,422.64,32370500,-0.06,-0.01,2.58
2020-10-22,441.92,445.23,424.51,425.79,425.79,39993200,-16.13,-3.65,2.6
2020-10-23,421.84,422.89,407.38,420.63,420.63,33717000,-1.21,-0.29,2.57
2020-10-26,411.63,425.76,410.0,420.28,420.28,28239200,8.65,2.1,2.57
2020-10-27,423.76,430.5,420.1,424.68,424.68,22686500,0.92,0.22,2.59
2020-10-28,416.48,418.6,406.0,406.02,406.02,25451400,-10.46,-2.51,2.48
2020-10-29,409.96,418.06,406.46,410.83,410.83,22655300,0.87,0.21,2.51
2020-10-30,406.9,407.59,379.11,388.04,388.04,42511300,-18.86,-4.64,2.37
2020-11-02,394.0,406.98,392.3,400.51,400.51,29021100,6.51,1.65,2.45
2020-11-03,409.73,427.77,406.69,423.9,423.9,34351700,14.17,3.46,2.59
2020-11-04,430.62,435.4,417.1,420.98,420.98,32143100,-9.64,-2.24,2.57
2020-11-05,428.3,440.0,424.0,438.09,438.09,28414500,9.79,2.29,2.67
2020-11-06,436.1,436.57,424.28,429.95,429.95,21706000,-6.15,-1.41,2.63
2020-11-09,439.5,452.5,421.0,421.26,421.26,34833000,-18.24,-4.15,2.57
2020-11-10,420.09,420.09,396.03,410.36,410.36,30284200,-9.73,-2.32,2.51
2020-11-11,416.45,418.7,410.58,417.13,417.13,17357700,0.68,0.16,2.55
2020-11-12,415.05,423.0,409.52,411.76,411.76,19855100,-3.29,-0.79,2.51
2020-11-13,410.85,412.53,401.66,408.5,408.5,19771100,-2.35,-0.57,2.49
2020-11-16,408.93,412.45,404.09,408.09,408.09,26838600,-0.84,-0.21,2.49
2020-11-17,460.17,462.0,433.01,441.61,441.61,61188300,-18.56,-4.03,2.7
2020-11-18,448.35,496.0,443.5,486.64,486.64,78044000,38.29,8.54,2.97
2020-11-19,492.0,508.61,487.57,499.27,499.27,62475300,7.27,1.48,3.05
2020-11-20,497.99,502.5,489.06,489.61,489.61,32911900,-8.38,-1.68,2.99
2020-11-23,503.5,526.0,501.79,521.85,521.85,50260300,18.35,3.64,3.19
2020-11-24,540.4,559.99,526.2,555.38,555.38,53648500,14.98,2.77,3.39
2020-11-25,550.06,574.0,545.37,574.0,574.0,48930200,23.94,4.35,3.5
2020-11-27,581.16,598.78,578.45,585.76,585.76,37561100,4.6,0.79,3.58
2020-11-30,602.21,607.8,554.51,567.6,567.6,63003100,-34.61,-5.75,3.47
2020-12-01,597.59,597.85,572.05,584.76,584.76,40103500,-12.83,-2.15,3.57
2020-12-02,556.44,571.54,541.21,568.82,568.82,47775700,12.38,2.22,3.47
2020-12-03,590.02,598.97,582.43,593.38,593.38,42552000,3.36,0.57,3.62
2020-12-04,591.01,599.04,585.5,599.04,599.04,29401300,8.03,1.36,3.66
2020-12-07,604.92,648.79,603.05,641.76,641.76,56309700,36.84,6.09,3.92
2020-12-08,625.51,651.28,618.5,649.88,649.88,64265000,24.37,3.9,3.97
2020-12-09,653.69,654.32,588.0,604.48,604.48,71291200,-49.21,-7.53,3.69
2020-12-10,574.37,627.75,566.34,627.07,627.07,67083200,52.7,9.18,3.83
2020-12-11,615.01,624.0,596.8,609.99,609.99,46475000,-5.02,-0.82,3.72
2020-12-14,619.0,642.75,610.2,639.83,639.83,52040600,20.83,3.37,3.91
2020-12-15,643.28,646.9,623.8,633.25,633.25,45071500,-10.03,-1.56,3.87
2020-12-16,628.23,632.5,605.0,622.77,622.77,42095800,-5.46,-0.87,3.8
2020-12-17,628.19,658.82,619.5,655.9,655.9,56270100,27.71,4.41,4.0
2020-12-18,668.9,695.0,628.54,695.0,695.0,222126200,26.1,3.9,4.24
2020-12-21,666.24,668.5,646.07,649.86,649.86,58045300,-16.38,-2.46,3.97
2020-12-22,648.0,649.88,614.23,640.34,640.34,51716000,-7.66,-1.18,3.91
2020-12-23,632.2,651.5,622.57,645.98,645.98,33173000,13.78,2.18,3.94
2020-12-24,642.99,666.09,641.0,661.77,661.77,22865600,18.78,2.92,4.04
2020-12-28,674.51,681.4,660.8,663.69,663.69,32278600,-10.82,-1.6,4.05
2020-12-29,661.0,669.9,655.0,665.99,665.99,22910800,4.99,0.75,4.07
2020-12-30,672.0,696.6,668.36,694.78,694.78,42846000,22.78,3.39,4.24
2020-12-31,699.99,718.72,691.12,705.67,705.67,49649900,5.68,0.81,4.31
2021-01-04,719.46,744.49,717.19,729.77,729.77,48638200,10.31,1.43,4.46
2021-01-05,723.66,740.84,719.2,735.11,735.11,32245200,11.45,1.58,4.49
2021-01-06,758.49,774.0,749.1,755.98,755.98,44700000,-2.51,-0.33,4.62
2021-01-07,777.63,816.99,775.2,816.04,816.04,51498900,38.41,4.94,4.98
2021-01-08,856.0,884.49,838.39,880.02,880.02,75055500,24.02,2.81,5.37
2021-01-11,849.4,854.43,803.62,811.19,811.19,59301600,-38.21,-4.5,4.95
2021-01-12,831.0,868.0,827.34,849.44,849.44,46270700,18.44,2.22,5.19
2021-01-13,852.76,860.47,832.0,854.41,854.41,33312500,1.65,0.19,5.22
2021-01-14,843.39,863.0,838.75,845.0,845.0,31266300,1.61,0.19,5.16
2021-01-15,852.0,859.9,819.1,826.16,826.16,38777600,-25.84,-3.03,5.04
2021-01-19,837.8,850.0,833.0,844.55,844.55,25367000,6.75,0.81,5.16
2021-01-20,858.74,859.5,837.28,850.45,850.45,25665900,-8.29,-0.97,5.19
2021-01-21,855.0,855.72,841.42,844.99,844.99,20521100,-10.01,-1.17,5.16
2021-01-22,834.31,848.0,828.62,846.64,846.64,20066500,12.33,1.48,5.17
2021-01-25,855.0,900.4,838.82,880.8,880.8,41173400,25.8,3.02,5.38
2021-01-26,891.38,895.9,871.6,883.09,883.09,23131600,-8.29,-0.93,5.39
2021-01-27,870.35,891.5,858.66,864.16,864.16,27334000,-6.19,-0.71,5.28
2021-01-28,820.0,848.0,801.0,835.43,835.43,26378000,15.43,1.88,5.1
2021-01-29,830.0,842.41,780.1,793.53,793.53,34990800,-36.47,-4.39,4.85
2021-02-01,814.29,842.0,795.56,839.81,839.81,25391400,25.52,3.13,5.13
2021-02-02,844.68,880.5,842.2,872.79,872.79,24346200,28.11,3.33,5.33
2021-02-03,877.02,878.08,853.06,854.69,854.69,18343500,-22.33,-2.55,5.22
2021-02-04,855.0,856.5,833.42,849.99,849.99,15812700,-5.01,-0.59,5.19
2021-02-05,845.0,864.77,838.97,852.23,852.23,18566600,7.23,0.86,5.2
2021-02-08,869.67,877.77,854.75,863.42,863.42,20161700,-6.25,-0.72,5.27
2021-02-09,855.12,859.8,841.75,849.46,849.46,15157700,-5.66,-0.66,5.19
2021-02-10,843.64,844.82,800.02,804.82,804.82,36216100,-38.82,-4.6,4.91
2021-02-11,812.44,829.88,801.73,811.66,811.66,21622800,-0.78,-0.1,4.96
2021-02-12,801.26,817.33,785.33,816.12,816.12,23768300,14.86,1.85,4.98
2021-02-16,818.0,821.0,792.44,796.22,796.22,19802300,-21.78,-2.66,4.86
2021-02-17,779.09,799.84,762.01,798.15,798.15,25996500,19.06,2.45,4.87
2021-02-18,780.9,794.69,776.27,787.38,787.38,17957100,6.48,0.83,4.81
2021-02-19,795.0,796.79,777.37,781.3,781.3,18958300,-13.7,-1.72,4.77
2021-02-22,762.64,768.5,710.2,714.5,714.5,37269700,-48.14,-6.31,4.36
2021-02-23,662.13,713.61,619.0,698.84,698.84,66606900,36.71,5.54,4.27
2021-02-24,711.85,745.0,694.17,742.02,742.02,36767000,30.17,4.24,4.53
2021-02-25,726.15,737.21,670.58,682.22,682.22,39023900,-43.93,-6.05,4.17
2021-02-26,700.0,706.7,659.51,675.5,675.5,41089200,-24.5,-3.5,4.12
2021-03-01,690.11,719.0,685.05,718.43,718.43,27136200,28.32,4.1,4.39
2021-03-02,718.28,721.11,685.0,686.44,686.44,23732200,-31.84,-4.43,4.19
2021-03-03,687.99,700.7,651.71,653.2,653.2,30208000,-34.79,-5.06,3.99
2021-03-04,655.8,668.45,600.0,621.44,621.44,65919500,-34.36,-5.24,3.79
2021-03-05,626.06,627.84,539.49,597.95,597.95,89396500,-28.11,-4.49,3.65
2021-03-08,600.55,620.13,558.79,563.0,563.0,51787000,-37.55,-6.25,3.44
2021-03-09,608.18,678.09,595.21,673.58,673.58,67523300,65.4,10.75,4.11
2021-03-10,700.3,717.85,655.06,668.06,668.06,60605700,-32.24,-4.6,4.08
2021-03-11,699.4,702.5,677.18,699.6,699.6,36253900,0.2,0.03,4.27
2021-03-12,670.0,694.88,666.14,693.73,693.73,33583800,23.73,3.54,4.24
2021-03-15,694.09,713.18,684.04,707.94,707.94,29335600,13.85,2.0,4.32
2021-03-16,703.35,707.92,671.0,676.88,676.88,32195700,-26.47,-3.76,4.13
2021-03-17,656.87,703.73,651.01,701.81,701.81,40372500,44.94,6.84,4.29
2021-03-18,684.29,689.23,652.0,653.16,653.16,33224800,-31.13,-4.55,3.99
2021-03-19,646.6,657.23,624.62,654.87,654.87,42894000,8.27,1.28,4.0
2021-03-22,684.59,699.62,668.75,670.0,670.0,39512200,-14.59,-2.13,4.09
2021-03-23,675.77,677.8,657.51,662.16,662.16,30491900,-13.61,-2.01,4.04
2021-03-24,667.91,668.02,630.11,630.27,630.27,33795200,-37.64,-5.64,3.85
2021-03-25,613.0,645.5,609.5,640.39,640.39,39224900,27.39,4.47,3.91
2021-03-26,641.87,643.82,599.89,618.71,618.71,33852800,-23.16,-3.61,3.78
2021-03-29,615.64,616.48,596.02,611.29,611.29,28637000,-4.35,-0.71,3.73
2021-03-30,601.75,637.66,591.01,635.62,635.62,39432400,33.87,5.63,3.88
2021-03-31,646.62,672.0,641.11,667.93,667.93,33337300,21.31,3.3,4.08
2021-04-01,688.37,692.42,659.42,661.75,661.75,35298400,-26.62,-3.87,4.04
2021-04-05,707.71,708.16,684.7,691.05,691.05,41842800,-16.66,-2.35,4.22
2021-04-06,690.3,696.55,681.37,691.62,691.62,28271800,1.32,0.19,4.22
2021-04-07,687.0,691.38,667.84,670.97,670.97,26309400,-16.03,-2.33,4.1
