Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Pct_Change,Normalized_Change
2020-09-30,492.57,504.63,489.27,500.03,500.03,4634100,7.46,1.51,1.21
2020-10-01,506.03,529.55,503.6,527.51,527.51,8153700,21.48,4.24,1.27
2020-10-02,516.43,526.37,502.7,503.06,503.06,6071200,-13.37,-2.59,1.21
2020-10-05,506.8,520.99,501.7,520.65,520.65,4088100,13.85,2.73,1.26
2020-10-06,518.72,521.82,504.16,505.87,505.87,4199000,-12.85,-2.48,1.22
2020-10-07,518.0,536.49,515.82,534.66,534.66,7988700,16.66,3.22,1.29
2020-10-08,533.48,535.0,524.15,531.79,531.79,5386500,-1.69,-0.32,1.28
2020-10-09,537.83,544.28,535.0,539.44,539.44,4781300,1.61,0.3,1.3
2020-10-12,548.81,551.81,538.24,539.81,539.81,5391100,-9.0,-1.64,1.3
2020-10-13,540.56,557.65,537.2,554.09,554.09,5602500,13.53,2.5,1.34
2020-10-14,562.61,572.49,541.0,541.45,541.45,9499000,-21.16,-3.76,1.31
2020-10-15,545.52,551.22,535.1,541.94,541.94,5113100,-3.58,-0.66,1.31
2020-10-16,549.5,554.33,530.03,530.79,530.79,6347400,-18.71,-3.4,1.28
2020-10-19,537.07,541.8,525.38,530.72,530.72,7567500,-6.35,-1.18,1.28
2020-10-20,528.14,533.78,522.26,525.42,525.42,10047200,-2.72,-0.52,1.27
2020-10-21,501.03,506.85,488.25,489.05,489.05,17405700,-11.98,-2.39,1.18
2020-10-22,494.69,495.14,482.0,485.23,485.23,6997900,-9.46,-1.91,1.17
2020-10-23,488.11,490.06,481.35,488.28,488.28,4927900,0.17,0.03,1.18
2020-10-26,487.03,496.82,478.9,488.24,488.24,6186100,1.21,0.25,1.18
2020-10-27,490.01,490.49,482.93,488.93,488.93,3627200,-1.08,-0.22,1.18
2020-10-28,486.36,494.0,483.28,486.24,486.24,5992700,-0.12,-0.02,1.17
2020-10-29,488.5,513.9,479.34,504.21,504.21,11120700,15.71,3.22,1.22
2020-10-30,502.01,505.88,472.21,475.74,475.74,7807900,-26.27,-5.23,1.15
2020-11-02,478.87,486.3,475.0,484.12,484.12,4408200,5.25,1.1,1.17
2020-11-03,484.93,495.31,478.76,487.22,487.22,3690200,2.29,0.47,1.17
2020-11-04,495.36,507.73,493.98,496.95,496.95,5137300,1.59,0.32,1.2
2020-11-05,506.56,518.73,503.45,513.76,513.76,5372800,7.2,1.42,1.24
2020-11-06,515.0,515.21,502.51,514.73,514.73,4236300,-0.27,-0.05,1.24
2020-11-09,485.54,495.85,467.26,470.5,470.5,10419700,-15.04,-3.1,1.13
2020-11-10,470.95,484.6,463.41,480.24,480.24,8306100,9.29,1.97,1.16
2020-11-11,483.0,491.68,478.26,490.76,490.76,5460500,7.76,1.61,1.18
2020-11-12,491.0,496.52,480.43,486.77,486.77,5063700,-4.23,-0.86,1.17
2020-11-13,486.77,488.94,477.8,482.84,482.84,3002700,-3.93,-0.81,1.16
2020-11-16,480.0,485.58,477.3,479.1,479.1,3953600,-0.9,-0.19,1.16
2020-11-17,480.12,487.51,478.85,480.63,480.63,3698100,0.51,0.11,1.16
2020-11-18,481.95,488.61,477.72,481.79,481.79,3629200,-0.16,-0.03,1.16
2020-11-19,482.0,487.8,480.47,484.67,484.67,2254700,2.67,0.55,1.17
2020-11-20,485.22,494.76,481.57,488.24,488.24,4253400,3.02,0.62,1.18
2020-11-23,490.46,491.15,475.84,476.62,476.62,5416600,-13.84,-2.82,1.15
2020-11-24,478.84,484.05,475.89,482.88,482.88,3550500,4.04,0.84,1.16
2020-11-25,485.13,486.9,478.92,485.0,485.0,3598600,-0.13,-0.03,1.17
2020-11-27,486.58,493.25,481.85,491.36,491.36,2805800,4.78,0.98,1.18
2020-11-30,490.08,492.55,481.27,490.7,490.7,3530900,0.62,0.13,1.18
2020-12-01,492.34,509.47,491.98,504.58,504.58,5052700,12.24,2.49,1.22
2020-12-02,501.62,506.8,493.5,503.38,503.38,3028400,1.76,0.35,1.21
2020-12-03,502.99,508.77,496.04,497.52,497.52,2826100,-5.47,-1.09,1.2
2020-12-04,497.5,504.5,493.64,498.31,498.31,3666200,0.81,0.16,1.2
2020-12-07,500.01,517.76,497.77,515.78,515.78,4289300,15.77,3.15,1.24
2020-12-08,517.9,521.49,505.55,512.66,512.66,4229000,-5.24,-1.01,1.24
2020-12-09,510.53,514.5,491.29,493.6,493.6,4178800,-16.93,-3.32,1.19
2020-12-10,494.56,503.77,492.91,501.09,501.09,3018200,6.53,1.32,1.21
2020-12-11,495.0,503.34,494.85,503.22,503.22,3210900,8.22,1.66,1.21
2020-12-14,505.44,524.16,501.18,522.42,522.42,5770400,16.98,3.36,1.26
2020-12-15,518.5,524.7,513.56,519.78,519.78,3394900,1.28,0.25,1.25
2020-12-16,520.11,527.38,517.69,524.83,524.83,3682400,4.72,0.91,1.27
2020-12-17,529.0,535.49,526.44,532.9,532.9,3193400,3.9,0.74,1.28
2020-12-18,533.2,536.37,526.02,534.45,534.45,4502700,1.25,0.23,1.29
2020-12-21,530.05,532.62,521.15,528.91,528.91,3894000,-1.14,-0.22,1.28
2020-12-22,527.69,530.4,520.5,527.33,527.33,1906600,-0.36,-0.07,1.27
2020-12-23,524.76,526.32,514.2,514.48,514.48,2393200,-10.28,-1.96,1.24
2020-12-24,515.12,519.35,512.21,513.97,513.97,1144000,-1.15,-0.22,1.24
2020-12-28,516.43,523.66,507.13,519.12,519.12,2891900,2.69,0.52,1.25
2020-12-29,519.9,536.55,515.48,530.87,530.87,4022400,10.97,2.11,1.28
2020-12-30,530.13,533.26,523.69,524.59,524.59,1876300,-5.54,-1.05,1.26
2020-12-31,525.53,545.5,523.15,540.73,540.73,5392300,15.2,2.89,1.3
2021-01-04,539.0,540.8,515.09,522.86,522.86,4444400,-16.14,-2.99,1.26
2021-01-05,521.55,526.78,515.89,520.8,520.8,3133900,-0.75,-0.14,1.26
2021-01-06,511.97,513.1,499.5,500.49,500.49,5346200,-11.48,-2.24,1.21
2021-01-07,508.28,516.44,506.42,508.89,508.89,3686400,0.61,0.12,1.23
2021-01-08,511.31,513.24,504.51,510.4,510.4,2973900,-0.91,-0.18,1.23
2021-01-11,507.84,510.73,497.95,499.1,499.1,3806200,-8.74,-1.72,1.2
2021-01-12,500.0,501.09,485.67,494.25,494.25,5990400,-5.75,-1.15,1.19
2021-01-13,495.5,512.35,493.01,507.79,507.79,5032100,12.29,2.48,1.22
2021-01-14,507.35,514.5,499.58,500.86,500.86,4177400,-6.49,-1.28,1.21
2021-01-15,500.0,506.32,495.1,497.98,497.98,5895800,-2.02,-0.4,1.2
2021-01-19,501.0,509.25,493.54,501.77,501.77,12315800,0.77,0.15,1.21
2021-01-20,565.42,593.29,556.86,586.34,586.34,32637500,20.92,3.7,1.41
2021-01-21,582.45,588.75,570.4,579.84,579.84,11802100,-2.61,-0.45,1.4
2021-01-22,582.1,583.99,564.35,565.17,565.17,7550800,-16.93,-2.91,1.36
2021-01-25,567.0,569.75,548.65,556.78,556.78,7207300,-10.22,-1.8,1.34
2021-01-26,554.73,567.99,554.06,561.93,561.93,5023800,7.2,1.3,1.35
2021-01-27,550.71,556.42,515.73,523.28,523.28,8670300,-27.43,-4.98,1.26
2021-01-28,535.88,553.15,530.74,538.6,538.6,5969000,2.72,0.51,1.3
2021-01-29,538.0,541.0,530.18,532.39,532.39,4325300,-5.61,-1.04,1.28
2021-02-01,536.79,545.06,531.73,539.04,539.04,3547500,2.25,0.42,1.3
2021-02-02,542.01,555.48,538.93,548.16,548.16,3767600,6.15,1.13,1.32
2021-02-03,550.17,550.48,538.24,539.45,539.45,3172300,-10.72,-1.95,1.3
2021-02-04,539.81,559.48,537.51,552.16,552.16,5164500,12.35,2.29,1.33
2021-02-05,552.26,554.44,545.48,550.79,550.79,2376200,-1.47,-0.27,1.33
2021-02-08,555.0,555.0,543.7,547.92,547.92,2791700,-7.08,-1.28,1.32
2021-02-09,546.0,566.0,543.0,559.07,559.07,3703500,13.07,2.39,1.35
2021-02-10,562.5,566.65,553.46,563.59,563.59,3991300,1.09,0.19,1.36
2021-02-11,564.44,565.93,554.22,557.59,557.59,2730600,-6.85,-1.21,1.34
2021-02-12,556.94,561.25,550.85,556.52,556.52,2197100,-0.42,-0.08,1.34
2021-02-16,557.29,563.63,552.73,557.28,557.28,2624100,-0.01,-0.0,1.34
2021-02-17,550.99,555.25,543.03,551.34,551.34,2069600,0.35,0.06,1.33
